config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,cost_savings_mUSD,input_token_savings_pct,md_fire_count,md_fire_rate_pct,gpt4o_calls,gpt4o_mini_calls
all-on,17,127,13.4,-1.6,3.0,0.7539,6,4,19.5207,-0.00,83,32.7,171,83
CacheHit-off,14,127,11.0,-3.9,2.8,0.2668,9,4,22.3218,-0.10,72,28.3,182,72
ContextCompress-off,17,127,13.4,-1.6,3.0,0.7744,7,5,27.8400,0.00,82,32.3,172,82
ParallelBranch-off,16,127,12.6,-2.4,2.9,0.5078,6,3,28.8225,-0.04,83,32.7,171,83
ModelDowngrade-off,18,127,14.2,-0.8,3.1,1.0000,6,5,1.9275,-0.00,0,0.0,254,0
StateDrop-off,14,127,11.0,-3.9,2.8,0.2266,8,3,30.8201,-0.00,83,32.7,171,83
CacheHit-only,17,127,13.4,-1.6,3.0,0.7539,6,4,-0.5775,0.00,0,0.0,254,0
ContextCompress-only,21,127,16.5,1.6,3.3,0.6875,2,4,-3.3575,0.00,0,0.0,254,0
ParallelBranch-only,18,127,14.2,-0.8,3.1,1.0000,6,5,3.4275,-0.00,0,0.0,254,0
ModelDowngrade-only,14,127,11.0,-3.9,2.8,0.1797,7,2,11.2326,-0.02,65,25.6,189,65
StateDrop-only,17,127,13.4,-1.6,3.0,0.7539,6,4,-6.5975,-0.01,0,0.0,254,0
