config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,baseline_cost_mUSD,optimized_cost_mUSD,cost_savings_mUSD,input_tokens_baseline,input_tokens_optimized,input_token_savings_pct,md_fire_count,gpt4o_calls,gpt4o_mini_calls,md_fire_rate_pct
all-on,17,127,13.4,-1.6,3.0,0.7539,6,4,98.9100,79.3893,19.5207,26168,26169,-0.00,83,171,83,32.7
CacheHit-off,14,127,11.0,-3.9,2.8,0.2668,9,4,98.9100,76.5883,22.3218,26168,26193,-0.10,72,182,72,28.3
ContextCompress-off,17,127,13.4,-1.6,3.0,0.7744,7,5,98.9100,71.0700,27.8400,26168,26168,0.00,82,172,82,32.3
ParallelBranch-off,16,127,12.6,-2.4,2.9,0.5078,6,3,98.9100,70.0875,28.8225,26168,26179,-0.04,83,171,83,32.7
ModelDowngrade-off,18,127,14.2,-0.8,3.1,1.0000,6,5,98.9100,96.9825,1.9275,26168,26169,-0.00,0,254,0,0.0
StateDrop-off,14,127,11.0,-3.9,2.8,0.2266,8,3,98.9100,68.0900,30.8201,26168,26169,-0.00,83,171,83,32.7
CacheHit-only,17,127,13.4,-1.6,3.0,0.7539,6,4,98.9100,99.4875,-0.5775,26168,26167,0.00,0,254,0,0.0
ContextCompress-only,21,127,16.5,1.6,3.3,0.6875,2,4,98.9100,102.2675,-3.3575,26168,26167,0.00,0,254,0,0.0
ParallelBranch-only,18,127,14.2,-0.8,3.1,1.0000,6,5,98.9100,95.4825,3.4275,26168,26169,-0.00,0,254,0,0.0
ModelDowngrade-only,14,127,11.0,-3.9,2.8,0.1797,7,2,98.9100,87.6774,11.2326,26168,26172,-0.02,65,189,65,25.6
StateDrop-only,17,127,13.4,-1.6,3.0,0.7539,6,4,98.9100,105.5075,-6.5975,26168,26171,-0.01,0,254,0,0.0
