agent_module,config,task_id,baseline_passed,optimized_passed
bench.agents.research_planner,ContextCompress-only,hotpot_5a85ea095542994775f606a8,1,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a85b2d95542997b5ce40028,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a87ab905542996e4f3088c1,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a7166395542994082a3e814,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab3b0bf5542992ade7c6e39,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab56e32554299637185c594,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a75e05c55429976ec32bc5f,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae0d4c9554299603e418468,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae6050f55429929b0807a5e,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5adddccd5542997dc7907069,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5adf37a95542995ec70e8f97,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5abc0a5d5542993f40c73c64,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5abf63f15542997ec76fd3ea,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab51dae5542991779162d82,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7571135542992d0ec05f98,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7a0e1e5542990783324e1a,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a79311755429970f5fffe67,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab2d3df554299194fa9352c,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a760ab65542994ccc918697,1,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab859a955429934fafe6d7b,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5add61d65542995b365fab21,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5abbf698554299114383a0b5,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8a43eb5542996c9b8d5e82,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a7320565542991f9a20c61d,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8b20335542996c9b8d5fb3,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a80840f554299485f59863b,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8361b65542992ef85e22a0,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae7ba7a5542993210983f12,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae7e1fc55429952e35ea9cc,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae37c765542992f92d822d4,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a713ea95542994082a3e6e4,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a78bd9b554299078472774a,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a88658955429938390d3f47,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5aba5d2e55429901930fa799,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae5736e5542990ba0bbb2b3,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8e0a005542995085b373a1,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac1b8ee5542994d76dccedc,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a774e9c55429972597f14f3,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae738f75542991bbc9761c4,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac32b565542995ef918c154,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae7eaf65542994a481bbe1d,0,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a818387554299260e20a291,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a879adb5542996e4f30887f,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab69c25554299110f219a39,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae305df5542992decbdcdc3,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a80071f5542992bc0c4a684,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae73c065542991e8301cc18,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac2ffbd554299677310267b,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7c960655429935c91b5244,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac1c6805542994ab5c67e11,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab4e3065542990594ba9cb4,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab2a186554299295394677b,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8704f8554299211dda2ba4,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae748d1554299572ea547b0,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a906a685542990a9849362e,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7633ad5542992db9473741,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a74ce9655429974ef308c6c,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a713a5a5542994082a3e6a9,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab341f755429969a97a8114,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab9374b554299131ca422c6,1,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae52c0f5542992663a4f12e,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab7f0015542992aa3b8c88b,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac547525542993e66e822a3,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a7cbf8c554299452d57b9f4,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7a1cd85542990783324e65,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a7625c7554299109176e668,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ac0d83a554299294b219038,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a790d8f554299029c4b5eec,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab2c5e255429916697740ba,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5abba4855542993f40c73b68,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7997a2554299029c4b5f59,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5add673e5542992ae4cec54d,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5aba65a055429939ce03dcd2,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5adf65555542992d7e9f9334,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab28019554299722f9b4d51,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a75f79555429976ec32bcca,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac02e31554299294b218f3f,0,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a79ea435542996c55b2dc9e,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab7e4dc5542995dae37e9df,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a834ed95542990548d0b1ca,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab41d855542996a3a969f4b,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5abd2eab5542992ac4f38210,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a87ab9b5542996e4f3088c2,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8c65a1554299585d9e3680,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae82ae555429952e35eaa71,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac289ff5542996366519a02,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7a5b3a5542996c55b2dd71,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8b63fa55429950cd6afcd7,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae4c49a5542995dadf24400,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7d3470554299452d57bb56,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a85cead5542991dd0999ea9,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a73a7c755429978a71e9068,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae6828f5542996d980e7bb9,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab31864554299233954ff06,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ac2659b55429963665199a1,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae058e855429945ae959331,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7b8749554299294a54a9db,0,0
