config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,baseline_cost_mUSD,optimized_cost_mUSD,cost_savings_mUSD,input_tokens_baseline,input_tokens_optimized,input_token_savings_pct,cc_fire_count
all-on,171,300,57.0,-1.7,2.9,0.2668,9,4,78.5823,78.4320,0.1503,520154,519140,0.19,1
CacheHit-off,173,300,57.7,-1.0,2.9,0.6072,9,6,78.5823,78.4236,0.1587,520154,519140,0.19,1
ContextCompress-off,178,300,59.3,0.7,2.8,0.7905,6,8,78.5823,78.5949,-0.0126,520154,520154,0.00,0
ParallelBranch-off,171,300,57.0,-1.7,2.9,0.3018,10,5,78.5823,78.4434,0.1389,520154,519140,0.19,1
ModelDowngrade-off,170,300,56.7,-2.0,2.9,0.2101,11,5,78.5823,78.4200,0.1623,520154,519140,0.19,1
StateDrop-off,172,300,57.3,-1.3,2.9,0.4545,10,6,78.5823,78.5727,0.0096,520154,520154,0.00,0
CacheHit-only,175,300,58.3,-0.3,2.8,1.0000,7,6,78.5823,78.5901,-0.0078,520154,520154,0.00,0
ContextCompress-only,170,300,56.7,-2.0,2.9,0.1796,10,4,78.5823,78.4212,0.1611,520154,519140,0.19,1
ParallelBranch-only,173,300,57.7,-1.0,2.9,0.6291,10,7,78.5823,78.5859,-0.0036,520154,520154,0.00,0
ModelDowngrade-only,173,300,57.7,-1.0,2.9,0.5811,8,5,78.5823,78.5787,0.0036,520154,520154,0.00,0
StateDrop-only,172,300,57.3,-1.3,2.9,0.4545,10,6,78.5823,78.5745,0.0078,520154,520154,0.00,0
