agent_module,config,task_id,baseline_passed,optimized_passed
bench.agents.iterative_refiner,all-on,refine-000,1,1
bench.agents.iterative_refiner,all-on,refine-001,1,1
bench.agents.iterative_refiner,all-on,refine-002,1,1
bench.agents.iterative_refiner,all-on,refine-003,1,1
bench.agents.iterative_refiner,all-on,refine-004,1,1
bench.agents.iterative_refiner,all-on,refine-005,1,1
bench.agents.iterative_refiner,all-on,refine-006,1,1
bench.agents.iterative_refiner,all-on,refine-007,1,1
bench.agents.iterative_refiner,all-on,refine-008,1,1
bench.agents.iterative_refiner,all-on,refine-009,1,1
bench.agents.iterative_refiner,all-on,refine-010,1,1
bench.agents.iterative_refiner,all-on,refine-011,1,1
bench.agents.iterative_refiner,all-on,refine-012,1,1
bench.agents.iterative_refiner,all-on,refine-013,1,1
bench.agents.iterative_refiner,all-on,refine-014,1,1
bench.agents.iterative_refiner,all-on,refine-015,1,1
bench.agents.iterative_refiner,all-on,refine-016,1,1
bench.agents.iterative_refiner,all-on,refine-017,1,1
bench.agents.iterative_refiner,all-on,refine-018,1,1
bench.agents.iterative_refiner,all-on,refine-019,1,1
bench.agents.iterative_refiner,all-on,refine-020,1,1
bench.agents.iterative_refiner,all-on,refine-021,1,1
bench.agents.iterative_refiner,all-on,refine-022,1,1
bench.agents.iterative_refiner,all-on,refine-023,1,1
bench.agents.iterative_refiner,all-on,refine-024,1,1
bench.agents.iterative_refiner,all-on,refine-025,1,1
bench.agents.iterative_refiner,all-on,refine-026,1,1
bench.agents.iterative_refiner,all-on,refine-027,1,1
bench.agents.iterative_refiner,all-on,refine-028,1,1
bench.agents.iterative_refiner,all-on,refine-029,1,1
bench.agents.iterative_refiner,all-on,refine-030,1,1
bench.agents.iterative_refiner,all-on,refine-031,1,1
bench.agents.iterative_refiner,all-on,refine-032,1,1
bench.agents.iterative_refiner,all-on,refine-033,1,1
bench.agents.iterative_refiner,all-on,refine-034,1,1
bench.agents.iterative_refiner,all-on,refine-035,1,1
bench.agents.iterative_refiner,all-on,refine-036,1,1
bench.agents.iterative_refiner,all-on,refine-037,1,1
bench.agents.iterative_refiner,all-on,refine-038,1,1
bench.agents.iterative_refiner,all-on,refine-039,1,1
bench.agents.iterative_refiner,all-on,refine-040,1,1
bench.agents.iterative_refiner,all-on,refine-041,1,1
bench.agents.iterative_refiner,all-on,refine-042,1,1
bench.agents.iterative_refiner,all-on,refine-043,1,1
bench.agents.iterative_refiner,all-on,refine-044,1,1
bench.agents.iterative_refiner,all-on,refine-045,1,1
bench.agents.iterative_refiner,all-on,refine-046,1,1
bench.agents.iterative_refiner,all-on,refine-047,1,0
bench.agents.iterative_refiner,all-on,refine-048,1,1
bench.agents.iterative_refiner,all-on,refine-049,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-000,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-001,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-002,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-003,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-004,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-005,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-006,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-007,1,1
bench.agents.iterative_refiner,CacheHit-off,refine-008,1,0
bench.agents.iterative_refiner,CacheHit-off,refine-009,1,1
