config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,baseline_cost_mUSD,optimized_cost_mUSD,cost_savings_mUSD,input_tokens_baseline,input_tokens_optimized,input_token_savings_pct,sd_fire_count,sd_total_calls,sd_window_reads_present,sd_state_tagged_present
all-on,47,50,94.0,-4.0,3.4,0.5000,2,0,84.6953,78.2302,6.4650,325675,286583,12.00,179,0,1,1
CacheHit-off,46,50,92.0,-6.0,3.8,0.2500,3,0,84.6953,78.3462,6.3491,325675,286208,12.12,178,0,1,1
ContextCompress-off,49,50,98.0,0.0,2.0,1.0000,0,0,84.6953,78.4977,6.1975,325675,287114,11.84,187,0,1,1
ParallelBranch-off,49,50,98.0,0.0,2.0,1.0000,1,1,84.6953,78.3234,6.3718,325675,287912,11.60,177,0,1,1
ModelDowngrade-off,47,50,94.0,-4.0,3.4,0.5000,2,0,84.6953,77.7762,6.9190,325675,284440,12.66,180,0,1,1
StateDrop-off,47,50,94.0,-4.0,3.4,0.5000,2,0,84.6953,82.8891,1.8062,325675,318842,2.10,0,0,0,0
CacheHit-only,49,50,98.0,0.0,2.0,1.0000,0,0,84.6953,82.3215,2.3738,325675,317598,2.48,0,0,0,0
ContextCompress-only,49,50,98.0,0.0,2.0,1.0000,1,1,84.6953,82.7319,1.9634,325675,318730,2.13,0,0,0,0
ParallelBranch-only,49,50,98.0,0.0,2.0,1.0000,0,0,84.6953,83.9479,0.7473,325675,323265,0.74,0,0,0,0
ModelDowngrade-only,49,50,98.0,0.0,2.0,1.0000,0,0,84.6953,83.8939,0.8013,325675,322777,0.89,0,0,0,0
StateDrop-only,49,50,98.0,0.0,2.0,1.0000,0,0,84.6953,79.5434,5.1519,325675,290413,10.83,183,0,1,1
