agent_module,config,task_id,baseline_passed,optimized_passed
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a85ea095542994775f606a8,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a85b2d95542997b5ce40028,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a87ab905542996e4f3088c1,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a7166395542994082a3e814,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ab3b0bf5542992ade7c6e39,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ab56e32554299637185c594,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a75e05c55429976ec32bc5f,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae0d4c9554299603e418468,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae6050f55429929b0807a5e,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5adddccd5542997dc7907069,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5adf37a95542995ec70e8f97,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5abc0a5d5542993f40c73c64,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5abf63f15542997ec76fd3ea,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ab51dae5542991779162d82,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a7571135542992d0ec05f98,0,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a7a0e1e5542990783324e1a,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a79311755429970f5fffe67,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ab2d3df554299194fa9352c,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a760ab65542994ccc918697,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ab859a955429934fafe6d7b,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5add61d65542995b365fab21,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5abbf698554299114383a0b5,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a8a43eb5542996c9b8d5e82,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a7320565542991f9a20c61d,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a8b20335542996c9b8d5fb3,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a80840f554299485f59863b,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a8361b65542992ef85e22a0,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae7ba7a5542993210983f12,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae7e1fc55429952e35ea9cc,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae37c765542992f92d822d4,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a713ea95542994082a3e6e4,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a78bd9b554299078472774a,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a88658955429938390d3f47,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5aba5d2e55429901930fa799,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae5736e5542990ba0bbb2b3,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a8e0a005542995085b373a1,1,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ac1b8ee5542994d76dccedc,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a774e9c55429972597f14f3,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae738f75542991bbc9761c4,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ac32b565542995ef918c154,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae7eaf65542994a481bbe1d,0,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a818387554299260e20a291,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a879adb5542996e4f30887f,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ab69c25554299110f219a39,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae305df5542992decbdcdc3,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a80071f5542992bc0c4a684,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ae73c065542991e8301cc18,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ac2ffbd554299677310267b,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5a7c960655429935c91b5244,1,1
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ac1c6805542994ab5c67e11,0,0
bench.agents.long_context_qa,ContextCompress-only,hotpot_5ab4e3065542990594ba9cb4,0,0
