config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,cost_savings_mUSD,input_token_savings_pct,cc_fire_count
all-on,175,300,58.3,0.3,2.8,1.0000,11,12,53.6259,34.00,261
CacheHit-off,179,300,59.7,1.7,2.8,0.4421,11,16,58.4340,37.06,286
ContextCompress-off,174,300,58.0,0.0,2.8,1.0000,9,9,-0.0096,0.00,0
ParallelBranch-off,174,300,58.0,0.0,2.8,1.0000,14,14,54.2719,34.41,264
ModelDowngrade-off,171,300,57.0,-1.0,2.9,0.6900,14,11,52.1577,33.08,255
StateDrop-off,178,300,59.3,1.3,2.8,0.5716,12,16,58.1816,36.89,283
CacheHit-only,174,300,58.0,0.0,2.8,1.0000,8,8,-0.0054,0.00,0
ContextCompress-only,179,300,59.7,1.7,2.8,0.4244,10,15,57.1901,36.26,280
ParallelBranch-only,170,300,56.7,-1.3,2.9,0.3877,8,4,0.0036,0.00,0
ModelDowngrade-only,175,300,58.3,0.3,2.8,1.0000,6,7,0.0144,0.00,0
StateDrop-only,171,300,57.0,-1.0,2.9,0.6072,9,6,0.0054,0.00,0
