agent_module,config,cost_savings_pct,input_token_savings_pct,accuracy_delta_pp,baseline_cost_usd,optimized_cost_usd,n_tasks,n_passed_optimized
bench.agents.research_planner,all-on,29.306,32.962,5.000,0.072073,0.050952,100,59
bench.agents.research_planner,CacheHit-off,30.171,33.930,6.000,0.072073,0.050328,100,60
bench.agents.research_planner,ContextCompress-off,-15.838,-1.731,-2.000,0.072073,0.083488,100,52
bench.agents.research_planner,ParallelBranch-off,2.065,17.837,-2.000,0.072073,0.070585,100,52
bench.agents.research_planner,ModelDowngrade-off,30.106,33.904,1.000,0.072073,0.050375,100,55
bench.agents.research_planner,StateDrop-off,28.247,31.871,5.000,0.072073,0.051715,100,59
bench.agents.research_planner,StructuredTruncation-off,30.213,33.895,1.000,0.072073,0.050298,100,55
bench.agents.research_planner,OutputBudget-off,30.244,33.865,2.000,0.072073,0.050276,100,56
bench.agents.research_planner,PromptDedup-off,30.028,33.845,5.000,0.072073,0.050431,100,59
bench.agents.research_planner,DeadOutputTruncation-off,30.184,33.874,0.000,0.072073,0.050318,100,54
bench.agents.research_planner,CacheHit-only,-20.315,-7.336,2.000,0.072073,0.086715,100,56
bench.agents.research_planner,ContextCompress-only,28.500,31.958,7.000,0.072073,0.051533,100,61
bench.agents.research_planner,ParallelBranch-only,-20.489,-7.391,2.000,0.072073,0.086841,100,56
bench.agents.research_planner,ModelDowngrade-only,-20.588,-7.426,3.000,0.072073,0.086912,100,57
bench.agents.research_planner,StateDrop-only,1.265,2.238,-13.000,0.072073,0.071162,100,41
bench.agents.research_planner,StructuredTruncation-only,-20.609,-7.447,1.000,0.072073,0.086927,100,55
bench.agents.research_planner,OutputBudget-only,-20.673,-7.463,4.000,0.072073,0.086973,100,58
bench.agents.research_planner,PromptDedup-only,0.207,0.077,2.000,0.072073,0.071924,100,56
bench.agents.research_planner,DeadOutputTruncation-only,-0.214,-0.074,2.000,0.072073,0.072228,100,56
bench.agents.debug_agent,all-on,8.322,16.769,-5.000,0.007916,0.007257,40,31
bench.agents.debug_agent,CacheHit-off,8.813,17.038,0.000,0.007916,0.007218,40,33
bench.agents.debug_agent,ContextCompress-off,9.512,17.283,0.000,0.007916,0.007163,40,33
bench.agents.debug_agent,ParallelBranch-off,7.674,16.109,-2.500,0.007916,0.007308,40,32
bench.agents.debug_agent,ModelDowngrade-off,7.525,15.771,-5.000,0.007916,0.007320,40,31
bench.agents.debug_agent,StateDrop-off,-0.959,-0.454,-2.500,0.007916,0.007992,40,32
bench.agents.debug_agent,StructuredTruncation-off,7.830,16.478,-2.500,0.007916,0.007296,40,32
bench.agents.debug_agent,OutputBudget-off,8.252,15.977,-2.500,0.007916,0.007263,40,32
bench.agents.debug_agent,PromptDedup-off,7.849,14.962,-2.500,0.007916,0.007295,40,32
bench.agents.debug_agent,DeadOutputTruncation-off,8.015,15.869,-2.500,0.007916,0.007281,40,32
bench.agents.debug_agent,CacheHit-only,-0.688,-0.527,-2.500,0.007916,0.007970,40,32
bench.agents.debug_agent,ContextCompress-only,0.550,0.420,2.500,0.007916,0.007872,40,34
bench.agents.debug_agent,ParallelBranch-only,-0.582,-0.150,2.500,0.007916,0.007962,40,34
bench.agents.debug_agent,ModelDowngrade-only,-0.400,0.004,2.500,0.007916,0.007948,40,34
bench.agents.debug_agent,StateDrop-only,7.106,15.064,2.500,0.007916,0.007353,40,34
bench.agents.debug_agent,StructuredTruncation-only,-0.165,0.056,0.000,0.007916,0.007929,40,33
bench.agents.debug_agent,OutputBudget-only,-1.235,-0.668,0.000,0.007916,0.008014,40,33
bench.agents.debug_agent,PromptDedup-only,-0.508,-0.291,0.000,0.007916,0.007956,40,33
bench.agents.debug_agent,DeadOutputTruncation-only,-0.580,-0.077,5.000,0.007916,0.007962,40,35
