config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,baseline_cost_mUSD,optimized_cost_mUSD,cost_savings_mUSD,input_tokens_baseline,input_tokens_optimized,input_token_savings_pct,cc_fire_count
all-on,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190940,-0.02,0
CacheHit-off,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190829,0.04,0
ContextCompress-off,2,200,1.0,0.5,0.7,1.0000,0,1,0.0000,0.0000,0.0000,190910,190841,0.04,0
ParallelBranch-off,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190868,0.02,0
ModelDowngrade-off,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190839,0.04,0
StateDrop-off,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190989,-0.04,0
CacheHit-only,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190758,0.08,0
ContextCompress-only,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190849,0.03,0
ParallelBranch-only,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190735,0.09,0
ModelDowngrade-only,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190885,0.01,0
StateDrop-only,1,200,0.5,0.0,0.5,1.0000,0,0,0.0000,0.0000,0.0000,190910,190893,0.01,0
